"S1" "S4" "S7" "S2" "S5" "S8" "S3" "S6" "S9"
"ERP44" 7394 7227 6679 8019 8233 5273 6607 5544 5387
"ALAS1" 8437 5869 6647 6241 6915 3584 5762 5893 5843
"BIRC3" 8833 2604 3337 4947 3512 1483 2787 1711 1167
"AKAP11" 1072 645 1637 1010 833 1215 1364 790 1322
"GLRX2" 237 329 335 268 273 212 293 510 260
"SNAPC1" 699 1046 1268 566 664 797 712 952 989
"DERA" 2193 2259 2626 2321 2839 1256 2202 1689 2655
"STRAP" 8721 9633 10679 7268 8771 4909 7315 17779 8496
"ABCC2" 151 102 134 85 88 39 202 52 124
"DEF6" 815 893 1088 1151 989 609 978 440 942
"PLEKHO1" 883 1329 2123 1173 1480 1928 1253 1792 602
"GCLM" 2949 5593 8531 3102 5278 3901 2968 15292 7898
"UBR2" 3493 2593 3519 4260 4287 3093 3206 1767 3437
"EHD2" 825 1248 1589 885 1007 518 997 666 444
"DEPDC1" 681 1289 913 714 1150 354 976 1539 1349
"CCDC28A" 1846 2373 1913 2189 2660 923 2057 1718 1764
"RRAGD" 505 358 449 621 297 341 666 286 268
"HSF2" 603 1364 1149 627 1231 489 743 1250 1128
"PHF20" 3961 3620 5400 3358 3609 2592 4027 3037 4476
"HSD17B6" 53 88 61 58 51 32 80 101 62
"NR1H3" 442 723 786 525 860 1103 535 698 778
"TYMP" 2792 1103 2108 4938 3227 11242 1583 1046 1049
"NCAPH2" 1396 1284 1830 1716 1315 1272 1714 1712 1610
"TOMM34" 4257 3563 6180 4460 3905 2800 5023 3478 5410
"SEC63" 6399 5213 7974 5966 4999 4508 6223 4143 6191
"KPNA6" 7003 5330 8279 6551 6639 4678 5648 7193 6826
"VIM" 20340 40911 41996 18146 30470 17845 22969 28158 15490
"RTEL1-TNFRSF6B" 1737 1807 2702 1731 2364 1431 2169 1206 2769
